AC01,AD01,AD03,AD10,AD10_09,AD11,BP03_03,BP03_04,BP03_05,BP03_06,BP03_07,BP03_08,BP03_09,BP03_10,BP03_11,BP03_12,BP03_13,BP03_14,BP04,BP05,BP06,BP07,BP08,CH01_01,CH01_02,CH01_03,CH01_04,CH01_05,CH02,CH02_01,CH02_02,CH02_03,CH02_04,CH02_05,CH03,CH04,DI02,DI03,DI04,DI05,DI06,DI07,DI08,DI09,DJ01,DJ02,DJ03,DJ04,DJ06,DJ07,DJ09,DJ10,DK01,DK02,DK03,DK05,DK06,DK07,DK09,DK10,DL01,DL02,DL03,DL04,DL05,DL06,DL08,DL09,DM01,DM02,DM03,DM04,DM05,DM06,DM08,DM09,DN01,DN02,DN03,DN04,DN05,DN06,DN08,DN09,EE01_CP,EE01,FS05_01,FS06_01,FS08,FS09_03,FS09_04,FS09_05,FS09_06,FS09_07,FS09_08,FS09_09,FS09_10,FS09_11,FS09_12,FS09_13,FS09_14,TIME_SUM,FINISHED
2,2.0,3.0,4.0,,3.0,5.0,3.0,3.0,1.0,3.0,1.0,4.0,1.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,4.0,2.0,4.0,2.0,3.0,2.0,1.0,2.0,4.0,1.0,4.0,1.0,3.0,4.0,4.0,4.0,5.0,1.0,5.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,4.0,5.0,5.0,4.0,5.0,9.0,2.0,"It talked about conrete phenomena i have heard of not like other quotes that were presented that always used the term ""bold"" in a really fuzzy way","It talked about conrete phenomena i have heard of not like other quotes that were presented that always used the term ""bold"" in a really fuzzy way",4.0,5.0,3.0,3.0,1.0,3.0,2.0,4.0,1.0,2.0,4.0,2.0,4.0,1027,1
2,1.0,3.0,8.0,,3.0,5.0,4.0,5.0,2.0,3.0,4.0,3.0,2.0,1.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,,,,,,,,,,,,,,,,380,0
2,4.0,5.0,4.0,,3.0,5.0,4.0,3.0,1.0,5.0,2.0,4.0,2.0,2.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,0
2,1.0,3.0,8.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,0
2,2.0,4.0,4.0,,3.0,5.0,3.0,4.0,1.0,4.0,1.0,3.0,1.0,2.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,5.0,5.0,4.0,1.0,3.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,1.0,1.0,2.0,2.0,5.0,5.0,1.0,2.0,3.0,1.0,2.0,2.0,5.0,5.0,1.0,4.0,1.0,1.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0,5.0,1.0,4.0,10.0,2.0,How much it alignment with my personal knowledge ,The fact I couldn't check who would have posted it as his content on social media and I can't see the source   ,5.0,5.0,3.0,4.0,1.0,4.0,1.0,3.0,1.0,2.0,4.0,3.0,5.0,1140,1
2,2.0,3.0,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0
2,1.0,4.0,4.0,,3.0,5.0,4.0,4.0,1.0,5.0,2.0,4.0,3.0,1.0,3.0,2.0,4.0,4.0,2.0,5.0,1.0,1.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,4.0,3.0,3.0,4.0,5.0,5.0,2.0,3.0,5.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,1.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,10.0,1.0,"The phrasing, but hard to tell what exactly","In many cases, the more emotional the content is, the less credible it seems.",4.0,4.0,4.0,3.0,2.0,5.0,2.0,4.0,3.0,1.0,3.0,1.0,4.0,1422,1
2,1.0,3.0,4.0,,3.0,4.0,4.0,4.0,1.0,4.0,1.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,2.0,,,,,,,,,,,,,,,,283,0
2,1.0,3.0,4.0,,3.0,5.0,3.0,4.0,1.0,5.0,2.0,4.0,2.0,1.0,4.0,3.0,5.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,3.0,5.0,3.0,4.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,4.0,4.0,5.0,3.0,5.0,1.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,11.0,1.0,believable: if it's common sense (to most people) and highly discussed in the media,if facts where shown + not too specific as no one can predict the future 100% right,4.0,4.0,3.0,4.0,1.0,4.0,2.0,3.0,3.0,1.0,4.0,2.0,4.0,774,1
2,2.0,4.0,8.0,,3.0,5.0,4.0,4.0,1.0,3.0,1.0,3.0,2.0,1.0,4.0,2.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,,,,,,,,,,,,,,,,297,0
